Guid,SBQQ__LookupField__c,SBQQ__MatchType__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__PriceRule2__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedValue__c
6c387984-0a39-4f21-9970-f114b61ac1fc,Lower_Bound_Percent__c,Field Value,greater or equals,#N/A,018d7b05-899b-4940-8cd2-4cf0ede37b11,#N/A,#N/A,Discretionary_Discount_Decimal__c,Quote Line,#N/A
51795049-7425-4789-8400-c598f794a6bc,Threshold_Type__c,Static Value,equals,#N/A,76bc0c50-5b45-4335-8403-5f378a24d860,#N/A,#N/A,#N/A,#N/A,Discount
e4ddfee6-49f6-4d90-ba14-7f66dbee4c24,Approval_Level__c,Static Value,equals,#N/A,fe655a51-f065-4fd0-8450-bd3c5da2c11d,#N/A,#N/A,#N/A,#N/A,2
c7a609ea-ba0b-4bf2-83ec-8b62206f1e2f,Approval_Level__c,Static Value,equals,#N/A,203f7fed-642e-4854-ac0f-1ab53ae51e46,#N/A,#N/A,#N/A,#N/A,3
063d3ae3-6781-4647-a46f-7da9ab843a22,Threshold_Type__c,Static Value,equals,#N/A,018d7b05-899b-4940-8cd2-4cf0ede37b11,#N/A,#N/A,#N/A,#N/A,Discount
c4bf9173-7e0c-43ac-9687-9ddeccc7b0b5,Engineering_Options__c,Field Value,equals,#N/A,0ce5b312-8f84-44e6-a9b5-ff346de915aa,#N/A,#N/A,Engineering_Options__c,Quote Line,#N/A
dac113e9-0d51-48c0-94e0-b0b9d856dcca,Product__c,Field Value,equals,#N/A,fa93ec9a-9e89-41be-8b48-46505e4460ce,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
6e397a79-8534-47f1-8610-889af6fa6122,Resource_Location__c,Field Value,equals,#N/A,d1fe2d0e-a632-4e68-b370-b818880a509b,#N/A,#N/A,Resource_Location__c,Quote Line,#N/A
4a2d6284-8f41-445d-8d40-627a10c75ef2,Product__c,Field Value,equals,#N/A,f85c9f91-3d00-49e2-97ae-d2e9b122cbc2,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
fa45c65d-e08e-484d-b7cb-2b6538e06c0b,Approval_Level__c,Static Value,equals,#N/A,a118c2d0-a2e4-433a-a7f3-fe2995b8c40c,#N/A,#N/A,#N/A,#N/A,1
a394fa13-def6-446e-ba46-c53ad7af5c71,Approval_Level__c,Static Value,equals,#N/A,fa93ec9a-9e89-41be-8b48-46505e4460ce,#N/A,#N/A,#N/A,#N/A,2
11d7d862-03c7-4738-9f89-e691786c57c1,Product__c,Field Value,equals,#N/A,5d4870fb-d090-4553-aca2-70af4aa0c365,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
dbd18094-2270-455b-9852-e2c6dbdda348,Product__c,Field Value,equals,#N/A,c0250104-e2c7-4984-ae6d-dceca3b3d609,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
a830fae1-18fd-4591-91e0-5830948c9d66,Approval_Level__c,Static Value,equals,#N/A,a3245e47-1881-42ef-a45f-02d30a56dffe,#N/A,#N/A,#N/A,#N/A,3
f8661aae-3063-412d-bb6c-9db5fcb1fee7,Approval_Level__c,Static Value,equals,#N/A,c0250104-e2c7-4984-ae6d-dceca3b3d609,#N/A,#N/A,#N/A,#N/A,1
